internal_taxon_name;taxonKey
Eupithecia druentiata;1983302
Eupithecia ericeata;1982924
Eupithecia extraversaria;1982404
Eupithecia extremata;1982383
Eupithecia gemellata;1983571
Eupithecia gratiosata;1983034
Eupithecia gueneata;1982972
Eupithecia haworthiata;193536581
Eupithecia icterata;1982500
Eupithecia impurata;1983967
Eupithecia innotata;1983548
Eupithecia laquaearia;1982458
Eupithecia lariciata;1982406
Eupithecia orphnata;8371656
Eupithecia pusillata;1982541
Eupithecia pyreneata;1982596
Eupithecia riparia;1983912
Eupithecia satyrata;1983441
Eupithecia scalptata;1983147
Eupithecia semigraphata;157947538
Eupithecia silenata;1983190
Eupithecia subfuscata;1983260
Eupithecia subumbrata;1982525
Eupithecia tripunctaria;193536584
Eupithecia venosata;1983052
Eupithecia vulgata;1982542
Euplagia quadripunctaria;4532532
Euplexia lucipara;1776619
Euproctis chrysorrhoea;1821856
Eupsilia transversa;1758878
Eutelia adoratrix;1777414
Eutelia adulatrix;1777517
Euxoa birivia;1773381
Euxoa conspicua;8155956
Euxoa decora;1773665
Euxoa distinguenda;1773504
Euxoa hastifera;1773161
Euxoa obelisca;1772956
Euxoa temera;8222049
Euxoa tritici;1772940
Exophyla rectangularis;1787517
Fagivorina arenaria;1965640
Furcula bifida;1822587
Furcula furcula;1822610
Gastropacha quercifolia;1732565
Eublemma polygramma;4532260
Scopula confinaria;7935966
Glyphipterix loricatella;1829987
Gnophos furvata;1969339
Gnophos obfuscata;1969291
Dicrognophos sartata;11054216
Chiasmia aestimaria;9220953
Gortyna moesiaca;1768311
Grammodes bifasciata;1786985
Grammodes stolida;1786980
Gymnoscelis rufifasciata;1992066
Habrosyne pyritoides;1952062
Hada plebeja;1761041
Hadena adriana;165803553
Hadena bicruris;1787859
Hadena caesia;1787697
Hadena compta;1787590
Hadena confusa;1787770
Hadena drenowskii;1787864
Hadena filograna;4534086
Hadena gueneei;1787843
Luteohadena luteago;209542718
Hadena magnolii;1787825
Hadena perplexa;1787610
Hadena persimilis;1787908
Hadena tephroleuca;1787978
Hadena vulcanica;1787632
Hadena wehrlii;1787605
Harpyia milhauseri;1823726
Helicoverpa armigera;8108800
Heliomata glarearia;4525068
Sideridis reticulata;4534057
Heliothis nubigera;4534675
Heliothis peltigera;4534681
Heliothis viriplaca;4534686
Hemaris croatica;1861842
Hemistola chrysoprasaria;1991179
Hepialus humuli;1828637
Heterogenea asella;4522322
Heterophysa dumetorum;5112591
Hippotion celerio;1862293
Hoplodrina alsinides;1784847
Hoplodrina ambigua;1784853
Hoplodrina blanda;1784826
Hoplodrina octogenaria;4534290
Hoplodrina respersa;1784812
Hoplodrina superstes;1784824
Horisme calligraphata;1971850
Horisme corticata;193536699
Horisme tersata;1971888
Horisme vitalbata;1971858
Hydriomena furcata;1979473
Hydriomena impluviata;1979308
Hylaea fasciaria;5143651
Hyles euphorbiae;1862719
Hyles livornica;1862765
Hyles nicaea;1862686
Hyles vespertilio;1862701
Sphinx pinastri;5124233
Hypena lividalis;4532352
Hypena obesalis;4532351
Hypena obsitalis;1798802
Hypena palpalis;1798769
Hypena rostralis;1798594
Hypomecis punctinalis;4524638
Idaea albitorquata;5147231
Idaea aureolaria;5146762
Idaea aversata;157949739
Idaea camparia;5146601
Idaea consanguinaria;5147030
Idaea consolidata;5146952
Idaea degeneraria;5147441
Idaea determinata;5147078
Idaea deversaria;5147011
Idaea dilutaria;5146862
Idaea dimidiata;5146677
Idaea distinctaria;5146476
Idaea elongaria;5147415
Idaea filicata;8366158
Idaea fuscovenosa;157949478
Idaea humiliata;5146611
Idaea infirmaria;5147319
Idaea inquinata;5147150
Idaea laevigata;5146510
Idaea metohiensis;5147405
Idaea moniliata;157949575
Idaea obsoletaria;157949628
Idaea ochrata;5147354
Idaea ostrinaria;5147043
Idaea pallidata;5146883
Idaea politaria;5147516
Idaea rubraria;5147016
Idaea rufaria;157949789
Idaea rusticata;5147478
Idaea seriata;5147039
Idaea serpentata;5146659
Idaea straminata;5147208
Idaea subsericeata;5146837
Idaea trigeminata;5147232
Idia calvaria;6097254
Isturgia roraria;1987558
Jodia croceago;1792645
Jordanita budensis;5768160
Jordanita chloros;8964772
Jordanita globulariae;5768179
Jordanita graeca;5768170
Jordanita notata;5768153
Jordanita subsolana;5768149
Lacanobia oleracea;1759083
Lacanobia w-latinum;1759079
Lamprosticta culta;1791846
Laothoe populi;5124007
Lasiocampa grandis;1734690
Lasiocampa quercus;1734826
Lasiocampa trifolii;1734704
Lasionhada proxima;8708745
Laspeyria flexula;1769103
Lemonia balcanica;5125075
Lemonia strigata;11551125
Lemonia taraxaci;5769689
Leucania comma;5111574
Leucoma salicis;1820039
Ligdia adustata;1962636
Lithosia quadra;5115771
Lomaspilis marginata;5149438
Lycia graecarius;8864510
Lycia hirtaria;5147681
Lygephila lusoria;1791132
Lygephila pastinum;4532405
Lygephila viciae;4532408
Lymantria dispar;1820406
Lymantria monacha;1820372
Lythria cruentaria;1959735
Lythria purpuraria;1959682
Macaria artesiaria;5880512
Macaria fusca;8632989
Macdunnoughia confusa;1768117
Macroglossum stellatarum;1864652
Macrothylacia rubi;1732416
Malacosoma castrensis;5101678
Malacosoma neustria;5101745
Mamestra brassicae;1788522
Marumba quercus;1861673
Meganola kolbi;4534766
Ceramica pisi;4534207
Melanthia procellata;1956524
Menophra abruptaria;1988064
Mesapamea secalella;1788457
Mesapamea secalis;1788425
Mesotrosta signalis;1772442
Metachrostis velox;8363507
Callopistria latreillei;5108660
Microloxia herbaria;1963168
Microsphecia tineiformis;10309794
Miltochrista miniata;1813114
Mimas tiliae;5123922
Minoa murinata;1981696
Minucia lunaris;1790816
Mniotype adusta;4533347
Mniotype solieri;4533345
Mormo maura;1761735
Mythimna albipuncta;5772178
Mythimna anderreggii;8045644
Mythimna congrua;7388922
Mythimna ferrago;5772176
Mythimna l-album;5772172
Mythimna languida;5772171
Leucania putrescens;5111481
Mythimna riparia;7768584
Mythimna sicula;5772186
Mythimna straminea;5772205
Mythimna turca;1767655
Mythimna unipuncta;5772169
Mythimna vitellina;5772206
Leucania zeae;5111501
Nebula achromaria;8259113
Nebula nebulata;7755220
Nebula pirinica;10553519
Coenotephria salicata;4524043
Nebula senectaria;8859093
Negotinthia myrmosaeformis;10572528
Neognopharmia stevenaria;9249651
Noctua comes;1789730
Noctua fimbriata;1789745
Noctua interjecta;1789694
Noctua interposita;1789753
Noctua janthe;1789785
Noctua janthina;1789783
Noctua orbona;1789755
Noctua pronuba;1789695
Noctua tertia;8851624
Noctua tirrenica;1789738
Nodaria nodosalis;1792210
Nola squalida;4534792
Notodonta ziczac;4534909
Nychiodes dalmatina;1955896
Nycteola revayana;5114327
Nycteola siculana;5114316
Ochropleura leucogaster;1770416
Dichagyris musiva;4533924
Ochropleura plecta;1770477
Ocneria detrita;6122473
Ocneria rubea;1819699
Odezia atrata;1984734
Odice suava;4532273
Odonestis pruni;5102287
Odontopera bidentata;1990066
Olivenebula subsericata;4532987
Omphalophana anatolica;1795479
Omphalophana antirrhinii;7922810
Opigena polygona;1759407
Opisthograptis luteolata;1960617
Orectis proboscidata;5110027
Oria musculosa;5110818
Orthonama obstipata;4302252
Orthosia gothica;1798974
Perigrapha rorida;7444489
Orthostixis cribraria;193537305
Oxytripia orbiculosa;4534574
Pachetra sagittigera;7869346
Pachycnemia hippocastanaria;1966351
Pachypasa otus;1732264
Panemeria tenebrata;1799799
Panemeria tenebromorpha;1799794
Papestra biren;1788917
Paracolax tristalis;4532516
Caradrina clavipalpis;4534245
Caradrina flavirena;4534252
Caradrina selini;4534257
Paradrymonia vittata;5118874
Parahypopta caestrum;8292351
Paranthrene tabaniformis;1939879
Arctia plantaginis;10160919
Apterogenum ypsillon;4533202
Polypogon plumigeralis;7575012
Peribatodes correptaria;1957583
Peribatodes rhomboidaria;1957572
Peribatodes umbraria;1957611
Peridea anceps;1822346
Peridroma saucia;10753591
Saturnia caecigena;8851157
Perizoma albulata;1972185
Perizoma alchemillata;193536773
Perizoma bifaciata;1972342
Mesotype didymata;4523570
Perizoma flavofasciata;1972234
Perizoma incultaria;7365652
Perizoma obsoletata;7671056
Mesotype verberata;4523575
Petrophora chlorosata;1973467
Phalera bucephala;5119245
Phalera bucephaloides;5119193
Korscheltellus fusconebulosa;7448174
Pheosia tremula;1825983
Philereme transversata;1959395
Phlogophora meticulosa;1782560
Phlogophora scita;1782579
Phragmataecia castaneae;1731598
Phragmatobia fuliginosa;1804071
Epatolmis luctifera;7908344
Phragmatobia placida;1803995
Phyllophila obliterata;1762680
Phymatopus hecta;4525610
Phytometra viridaria;1760246
Caradrina aspersa;1764986
Caradrina kadenii;1765017
Plusia festucae;1772179
Poecilocampa populi;1732063
Polymixis culoti;1781007
Polymixis rufocincta;1781016
Polymixis serpentina;1780996
Polyphaenis sericata;1784359
Polypogon tentacularia;1771772
Praestilbia armeniaca;1793382
Proserpinus proserpina;1864161
Protorhoe corollaria;1981363
Protorhoe unicata;1981362
Pseudoips prasinana;1802280
Pseudopanthera macularia;1954563
Pseudoterpna pruinata;1987527
Psodos quadrifaria;4524793
Pterostoma palpina;1825064
Ptilodon capucina;1828162
Pungeleria capreolaria;1966886
Amphipyra effusa;4534691
Pyropteron affinis;4525855
Pyropteron leucomelaena;4525869
Pyropteron minianiformis;4525879
Philareta treitschkii;4534653
Pyrrhia umbra;1779641
Rethera komarovi;1862670
Rhagades pruni;1754332
Pasiphila rectangulata;4523885
Rhodometra sacraria;193537166
Rhodostrophia calabra;1967006
Rhodostrophia discopunctata;1966993
Rhodostrophia tabidaria;1967003
Rhodostrophia vibicaria;1967011
Rhoptria asperaria;1989594
Rhyacia nyctymerides;1790659
Rhyacia simulans;1790625
Zekelita antiqualis;4532366
Rhypagla lacernaria;7796968
Rivula sericealis;1769897
Rusina ferruginea;1786287
Saturnia pyri;1867928
Schinia cardui;4534663
Schistostege decussata;1967143
Schrankia costaestrigalis;5113036
Sciadia tenebraria;1968356
Scoliopteryx libatrix;1798449
Scopula decorata;5144782
Scopula flaccidaria;5145522
Scopula imitaria;8014296
Scopula immorata;5145260
Scopula incanata;5144721
Scopula marginepunctata;5144900
Scopula minorata;157948872
Scopula nigropunctata;5144677
Scopula ornata;193536547
Scopula rubiginata;193536587
Scopula submutata;5144880
Scopula tessellaria;5144787
Scopula turbidaria;5145764
Scopula turbulentaria;5145671
Scotopteryx bipunctaria;1957718
Scotopteryx chenopodiata;1957816
Scotopteryx coarctaria;1957791
Scotopteryx moeniata;1957706
Scotopteryx mucronata;1957632
Scotopteryx octodurensis;1957628
Selenia lunularia;193535966
Selidosema brunnearia;1970227
Selidosema plumaria;1970243
Aspitates ochrearia;1967265
Sesamia cretica;1762358
Sesamia nonagrioides;1762383
Sesia apiformis;5141493
Setina irrorella;5116475
Cucullia blattariae;5109489
Cucullia verbasci;5109661
Simyra dentinosa;1762248
Siona lineata;5144543
Spaelotis ravida;1774347
Spaelotis senna;1774334
Spatalia argentina;1827645
Sphingoneopsis gorgoniades;4526756
Sphinx ligustri;5124143
Spilosoma lubricipeda;1811896
Spilarctia lutea;8000103
Spiris striata;7656811
Spodoptera exigua;8352161
Spodoptera littoralis;5109931
Standfussiana lucernea;1778517
Stauropus fagi;5118996
Pyropteron muscaeformis;4525870
Pyropteron triannuliformis;4525884
Synanthedon conopiformis;1940504
Synanthedon myopaeformis;4525777
Synanthedon spheciformis;1940768
Synanthedon spuleri;1940701
Synanthedon stomoxiformis;4525803
Synanthedon tipuliformis;1940575
Synanthedon vespiformis;1940644
Synopsia sociaria;1981998
Teinoptera lunaki;4532780
Isturgia arenacearia;4525095
